1000,Sequence Control
10707,OptMot - Empty fifo of segmented NC blocks
10708,OptMot - Error when reading a fifo of segmented NC blocks
10709,OptMot - Full fifo of segmented NC blocks
10710,OptMot - No transformation library
10711,OptMot - Task could not be created
10712,OptMot - No interface function between path planner and OptMot
10713,OptMot - Init of dynamical model not started
10714,OptMot - Not enough memory for dynamical model in OptMot
10715,OptMot - Not enough memory for dynamical model in path generator
10716,OptMot - Wrong dynamical model
10717,OptMot - Internal error of dynamical model from TRF_LIB
10718,OptMot - Rounding edges active when entering the OptMot - section
10719,OptMot - Rounding edges active when leaving the OptMot - section
10720,OptMot - No movement between two OptMot - sections
10721,OptMot - Out of memory - External data
10722,OptMot - No dynamical model used
10750,OptMot - Unknown error code from OptMot
10751,OptMot - Invalid pointer to geometric data buffer
10752,OptMot - Geometric data buffer not initialized
10753,OptMot - Geometric data buffer full or blocked
10754,OptMot - Sigma not in range
10755,OptMot - Interpolation error
10756,OptMot - No more elements to continue calculation
10757,OptMot - Not enough data in geometric data buffer
10758,OptMot - No change in position
10759,OptMot - Invalid pointer to opt_sys structure
10760,OptMot - Invalid pointer to trajectory memory
10761,OptMot - Zero trajectory elements configured
10762,OptMot - Invalid pointer to geometric data buffer
10763,OptMot - Internal trajectories not initialized
10764,OptMot - Structure get_geom_sigma_struct not initialized
10765,OptMot - Error in control state machine - no command
10766,OptMot - Initialization of opt_sys not done
10767,OptMot - Error in trajectory handling
10768,OptMot - Invalid setting of Ts_multiple
10769,OptMot - Expected one element in test trajectory
10770,OptMot - Error in calculation of test trajectory
10771,OptMot - No more geometric data in buffer
10772,OptMot - Geometric data buffer is empty
10773,"OptMot - Wrong state, not in wait"
10774,OptMot - Initialization failed
10775,OptMot - No elements in geometric data buffer
10776,OptMot - No data for OptMot
10777,OptMot - Backwards on path - sigma
10778,OptMot - Backwards on path - blockID
10779,OptMot - Geometric data buffer is too small
10780,OptMot - Programmed pathspeed not reachable with configured pathlimits
10781,OptMot - Error in call of direct transformation
10782,OptMot - Limits exceeded - cannot initiate movement
10783,OptMot - TRF_generic() function detected an error
10784,OptMot - TRF_get_joints_pos() function detected an error.
10785,OptMot - Tracking - not supported interpolation type
10786,OptMot - Tracking - Violation of the maximum tracking velocity
10787,OptMot - Tracking - not supported path definition
10788,OptMot - Radius deviation between start and end
10789,OptMot - Exceeding the max. deviation between programmed and computed frame axis position
10790,OptMot - Invalid path definition in connection with G93
10791,OptMot - Not allowed configuration of the axes limits - axes velocity not reachable
10792,OptMot - Not allowed path limits - movement can not be initiated
10793,OptMot - Not allowed path limits are adapted automatically
10794,OptMot - Not allowed axes limits configuration - Ts_multiple not in valid range
10795,OptMot - Invalid command G804/G805 modified to G00/G01
10796,OptMot - Tracking - Index of Tracking source is locked
10797,OptMot - Tracking - Initialization of frame of Tracking source failed
10798,OptMot - Tracking - Too short movement for synchronization or desynchronization
10799,OptMot - Invalid identifier of OptMot Conditional Stop (value >= 4000000000)
10901,Internal Error - Tangential axes not found in axes masks
10902,Deactivate spline-rounding first
10903,Deactivate tangential arcs first
10904,IEC-ST motion extension library not found or its function missing
10905,IEC-ST motion extension library function returned an error
10906,IEC-ST motion extension command returned an error
10907,Invalid index of HW trigger input
10908,Invalid trigger edge
10909,Invalid axis identification of HW trigger
10910,Invalid trigger ID
F10100,Command Number (details see AS help)
F10101,Event Number
F10101,0
F10101,1
F10101,2
F10101,3
F10101,4
F10101,5
F10101,6
F10101,7
F10101,8
F10101,9
F10101,10
F10101,11
F10101,12
F10101,13
F10101,14
F10101,15
F10101,16
F10101,17
F10101,19
F10101,20
F10101,21
F10101,22
F10101,23
F10101,24
F10101,25
F10101,26
F10101,27
F10101,28
F10101,29
F10101,30
F10101,31
F10101,32
F10101,33
F10101,34
F10101,35
F10101,36
F10101,37
F10101,38
F10101,39
F10101,40
F10101,41
F10101,42
F10101,43
F10101,44
F10101,45
F10101,46
F10101,47
F10101,48
F10101,49
F10101,50
F10101,51
F10102,Module Name
F10103,System Error
F10103,1
F10103,5
F10103,6
F10103,32
F10103,33
F10103,34
F10103,38
F10103,3000
F10103,3001
F10103,3006
F10103,3010
F10103,3019
F10103,3039
F10103,8020
F10103,8021
F10103,8022
F10103,8100
F10103,8101
F10103,8120
F10104,Bit number
F10110,Program Number
F10111,Position in NC Program
F10112,Block offset
F10113,Index
F10114,Minimum Index
F10115,Maximum Index
F10116,Sync. Code
F10117,Parameter
F10117,0
F10117,1
F10117,2
F10117,3
F10117,4
F10117,5
F10117,7
F10117,8
F10117,9
F10117,10
F10117,12
F10118,Number of Elements
F10119,Task Number
F10120,Parameter Value
F10121,State
F10121,0
F10121,1
F10121,2
F10121,3
F10121,4
F10121,5
F10121,6
F10122,Parameter type
F10122,0
F10122,1
F10122,2
F10122,3
F10123,Max. line length
F10124,Blocknumber N
F10125,Number of parameter
F10126,Start mode
F10127,Blocknumber N
F10128,TRF_direct() return status (dec)
F10129,Address of TRF_...() function's inputs and outputs
F10130,Path axis index
F10131,Actual position of path axis
F10132,Required position of path axis
F10133,TRF_inverse() return status (dec)
F10134,TRF_get_joints_pos() return status (dec)
F10135,TRF_generic() return status (dec)
F10136,OptMot error code
F10137,Motion Packet command
F10138,Variable Name
F10139,Blocknumber N
F10140,Line number
F10141,Function
F10141,0
F10141,1
F10141,2
F10141,3
F10141,4
F10142,Status
F10143,ip_status
F10144,command
F10145,Function
F10145,0
F10145,1
F10145,2
F10145,3
F10146,Status
F10146,0
F10147,Axis index
F10148,Limits index
F10149,Axis index
F10150,Path index
F10151,Address of collision info
F10152,Trackingindex
F10153,Blocknumber N
F10154,Return status of TRF_init_instance
F10154,1
F10154,1001
F10154,1002
F10154,1003
F10154,1004
F10154,1005
F10154,2001
F10154,2002
F10154,2003
F10154,2004
F10154,2005
F10154,2006
F10154,4001
F10154,4002
F10154,100001
F10155,Code
F10155,2
F10155,3
F10155,4
F10155,5
F10155,6
F10155,7
F10155,8
F10155,9
F10155,11
F10155,12
F10155,13
F10155,14
F10155,15
F10155,16
F10156,1st Block N
F10157,2nd Block N
F10158,Line
F10159,radius error
F10160,Line number
11000,Search Home
11104,Invalid parameter for Reference pulse
11105,Only positive values are allowed for search and trigger speed
11108,Search home aborted by set value generator
11110,Command not allowed in current module state
11111,Error accessing the hardware interface
11112,Only POSITIVE/NEGATIVE for home switch edge and start/trigger direction
11114,Start of search home not possible - Both limit switches are closed
11115,Error at writing to an internal interface
11117,Command no allowed - CAN-interface not initialized
11118,"Homing, Fix the direction - Only OFF/ON allowed"
F11100,State Number
F11100,0x10
F11100,0x20
F11100,0x30
F11100,0x40
F11100,0x50
F11100,0x60
F11100,0x70
F11100,0x80
F11100,0x90
F11101,Interface error number
F11101,1
F11101,2
F11101,3
F11101,109
F11101,110
F11101,111
F11101,112
F11101,113
F11101,114
F11101,117
F11101,118
F11102,Interface Name
F11102,1
F11102,2
F11102,3
12000,System Functions
12102,Internal Error - Unknown event received
12111,Error at writing an event
12190,Error in program module configuration
F12181,Event Number
F12182,Error Type
F12182,1
F12182,2
F12182,3
F12183,Event name
F12190,Error Type
F12190,1
F12190,2
F12190,3
F12190,4
F12190,5
F12190,6
F12190,7
F12190,10
F12191,Element index in the list
F12192,Error Status
14000,Network Driver
14101,Command for initialisation of communication already takes place
14102,Servicechannel already used
14103,Do not use a not existing drive
14105,Commado aborted because of faulty communication
14112,Timeout for parameter ID
14116,Error from drive parameter-ID
14117,Wrong response ID
14120,Error burning system modul
14124,Cyclic position not used from drive
14126,No cyclic positions from drive
14128,Homing is only allowed in cyclic communication phase
14130,Homing procedure stopped
14131,No Parameter-ID for Trace
14132,Unkown Command
14133,Trace already in use
14134,No trace data available
14136,Fault in homing procedure
14138,Wrong datatype for service channel
14139,Download of new version of BS Loader acp10bsl to the drive is necessary
14144,Fault in transmission of the encoder parameters
14153,Drive not synchronous
14154,Cycletime to small
14155,Internal commandbuffer full
14156,Drive is in BsLoader state (after reset command or power fail)
14157,Error at acyclic read occured
14160,Timeout reading acyclic Parameter
14161,Timeout writing acyclic Parameter
14162,Cyclic Read Request while waiting for response
14163,Cyclic Write Request while waiting for response
14164,Could not read bootstate (Drive inactive!)
14165,Delay before SW Reset (network with ascending node numbers ?)
14166,Delay before NC System Start (network with ascending node numbers ?)
14167,System with worng hardeware revision (No system download !)
14168,Error switch controller off
14169,Error switch controller on
14170,Error initialize digital Inputs
14171,Error switch on drive simulation
14172,Error switch off drive simulation
14180,Error transfering ACOPOS-Parameter
14181,ACOPOS Parameter Transfer active
14182,Error reading ACOPOS Parameter Module
14183,Data address of structure for a data block operation is zero
14184,Data address zero (user data for data block operation)
14185,Data length zero (user data for data block operation)
14186,Data block operation - Data module name or data address must be zero
14187,Invalid Parameter ID for the used ACOPOS Operating System
14188,Parameter table invalid
14189,Invalid Bootstate
14190,Error initialising synchronized network startup
14191,Network interface not initialized (additional info in Log Book)
14192,External encoder with motor encoder on slot 3 not possible
14193,Timeout for parameter enable after start of operating system
14194,Error setting digital Inputs
14195,Error in acp10 axis access
14196,Error in acp10 axis USTODRV alloc
14197,Error in acp10 axis USFRDRV alloc
14198,Error by acp10 mode switch
14199,Error by acp10 axis ncMODULE alloc
14200,Error by controller init
14201,Error by limit values init
F14101,Phase number of communication
F14102,Parameter ID
F14103,Response parameter ID
F14105,Error number from drive
F14106,Version of BS Loader on the drive
F14107,internal FIFO-fault
F14108,Bootstate
F14109,Parameter-ID
F14110,Nodenumber
F14111,Hardeware revision
F14112,Error Number
F14112,2
F14112,32145
F14112,32146
F14112,32147
F14112,32148
F14112,32149
F14112,32150
F14112,32151
F14112,32152
F14112,32153
F14112,32155
F14112,32156
F14112,32157
F14112,32158
F14112,32159
F14113,Parameter-ID
F14114,State
F14114,0x10
F14114,0x20
F14114,0x30
F14115,Ncaccess-Status
F14116,Ncalloc-Status
15000,Interpreter
15101,Axis table full - unable to add auxiliary axis
15102,Invalid RHS of expr - not string
15103,Invalid array index
15104,Bitwise op on non-integer value
15105,Divide by zero
15106,Bad arg count for external function call
15107,Type mismatch in PassByRef function argument
15108,Invalid type for referenced argument to external function
15109,Goto dest Block not in scope
15110,System fn not valid path synchronous
15111,List index out of bounds
15112,String too short for full value
15113,Operation not supported on variable of this data type
15114,Variable not found
15115,Invalid scope for operator
15116,Call to unknown function
15117,Bad array argument for built-in function
15118,Insufficient args to array function
15119,Too many arguments to array function
15120,Call to unknown array function
15121,Bad repeat-count for array assignment
15122,Bad multibyte encoding
15123,Cannot load file - Language unknown (LangID follows)
15124,Insufficient space for passing function arguments
15125,Invalid scope specified for PLC variable
15126,PLC variable not found
15127,Variable scope type not supported
15128,Variable scope type not recognised
15129,Constant not found
15130,Invalid array dimension
15131,Failed to open data object
15132,Dump of AIL text failed
15133,More than one FUB parameter of same type
15134,Function returned error code
15135,Error reading data object
15136,Error reading file
15137,External function returned error status
15138,Bad arguments to exec built-in function
15139,Runtime - call to unknown subprogram
15140,[User Message]
15141,Bad PassByRef subprogram argument type
15142,Feature not supported yet
15143,Feature not supported
15144,Failed to get file timestamp
15145,File not readable
15146,File type not supported - DNC
15147,System Function prototype not found (in config file)
15148,Failed to open file
15149,FUB redeclared with different modifiers
15150,FUB not found in cache
15151,Invalid array assignment - no default assign fn.
15152,Incompatible restart data format (too new)
15153,Incompatible restart data format (too old)
15154,Macro does not support increment
15155,Additional info
15156,Additional info
15157,Additional info
15158,Additional info
15159,Additional info
15160,Additional info
15161,Additional info - Valid range
15162,MPQueue config info
15163,Additional info
15164,Additional info
15165,Additional info
15166,Additional info
15167,Scope information
15168,Additional info
15169,Additional info
15170,Additional info
15171,"No MPQUEUE config specified, using defaults"
15172,External function lookup failed
15173,Invalid AIL sys fn call
15174,Invalid scope at end of file
15175,Invalid scope at end of file
15176,Invalid program file name
15177,FUB function not found
15178,FUB conditions not sufficient for modifiers
15179,Called FUB info not found
15180,FUB instance PV not found
15181,Unknown FUB Type in declaration
15182,Unexpected scope-end token
15183,Label not found
15184,Duplicate main program ignored
15185,Unexpected GCode argument
15186,Argument value above maximum
15187,Argument value below minimum
15188,Datatype is not a numeric type
15189,Invalid parameter index
15190,Unknown parameter name
15191,Value greater than max allowed
15192,Value less than min allowed
15193,Bitwise operation on non-integer
15194,Insufficient function arguments
15195,Duplicate GCode named-argument
15196,Duplicate subprogram definition
15197,Invalid GCode argument ignored
15198,Invalid NC Block number
15199,Invalid skip level number
15200,Bad PassByValue arg type - array
15201,Bad PassByValue subprogram argument (array)
15202,Conflict between subprogram prototype and declaration
15203,Invalid subprogram argument type
15204,Bad subprogram repeat count
15205,No main program section found in file
15206,Syntax error
15207,Syntax error in macro expansion
15208,Invalid index to variable
15209,Invalid array 2nd index
15210,Invalid array reference (missing index)
15211,Array ref missing 2nd dim index
15212,2D-Array PLC variables not supported
15213,2D String arrays not supported
15214,Bad string length specified (0)
15215,String var declared larger than PLC-string
15216,String variable size mismatch
15217,Wrong type for string dimension
15218,Macro does not support indexed reference
15219,Macro requires indexed reference
15220,Illegal command combination
15221,Required command not in NC-Block
15222,Bad PassByRef subprogram argument type - array[]
15223,Bad array spec in PassByRef arg
15224,Bad type for PassByRef arg
15225,Surplus arguments to subprogram ignored
15226,Missing argument in subprogram call
15227,Invalid PassByRef arg - must be a variable
15228,Attributes ignored on EXTERN decls
15229,Syntax error
15230,Too many arguments specified to Gcode
15231,Call to undeclared subprogram with args (add prototype)
15232,Unknown GCode number
15233,Unknown MCode number
15234,Variable not locally declared
15235,Invalid use of macro (cannot be called)
15236,Memory Part Limit reached (out of memory)
15237,Memory Reserve not met (insufficient memory)
15238,Interpreter lib initialised
15239,Interpreter shut down
15240,Program loaded
15241,Program started
15242,Cannot shut down Shared Lib while Interpreter instances exist
15243,Requested content not available
15244,Bad regexp in interpreter cfg
15245,Out of Memory
15246,Break operation outside of supporting scope
15247,Continue operation outside of supporting scope
15248,Non-finite numeric expression
15249,Path-Synch events still running at program end
15250,Problems Closing File
15251,Unable to load referenced program
15252,Variable name already declared
15253,"Value to store more than type max, limit applied"
15254,"Value to store less than type min, limit applied"
15255,PLC array variable declared as scalar
15256,PLC variable data-length mismatch
15257,Incompatible type declared for PLC variable
15258,Invalid variable redeclaration with different dimension
15259,Invalid variable redeclaration with different scope
15260,Invalid variable redeclaration with different synch
15261,Invalid variable redeclaration with different type
15262,PLC variable array dimension too big
15263,Variable not found
15264,Unkown variable (not found)
15265,Variable name conflicts with reserved word
15266,Unknown variable type in declaration
15267,Variable not of recommended BR type
15268,Reading not permitted on SysVar
15269,Writing not permitted on SysVar
15270,Unknown primitive type
15271,Bad regexp in interpreter cfg
15272,Reloading modified program
15273,Reloading dependant program
15274,Restart buffer full
15275,"End of restart event buffer, now using live values"
15276,Restart event not next in buffer (buffer misalignment)
15277,Restart buffer invalid - not restart data
15278,"Restart point reached, now using live values"
15279,Restart - End of SynchAction without room for var result
15280,Restart - unable to log 2D array struct member
15281,Restart - unable to log FuB members (none found)
15282,Scope prefix not found
15283,Invalid combination of commands
15284,Required command not found
15285,Program start offset not found
15286,Previous subprogram not terminated
15287,Call to unknown subprogram
15288,Surplus arguments in function call ignored
15289,Too many values in array assignment
15290,Unicode format not supported
15291,Unknown command called
15292,Unicode byte ordering unknown
15293,Error executing program
15294,Execution finished
15295,FUB returned error
15296,No room for variable - pool full
15297,Execution Stack Full
15298,Execution waiting
15299,Abort invalid at this time
15300,Bad Variable type
15301,Feature not implemented
15302,Error initialising interpreter
15303,Error initialising lang module
15304,Error in Ip Shutdown
15305,NcIp Library not initialised
15306,Error in Library Shutdown
15307,Program failed to load
15308,Motion data invalid (old)
15309,Custom axis declarations not supported
15310,Reconfiguring custom axes not permitted
15311,No restart buffer loaded
15312,Program not loaded
15313,Invalid operation when program not running
15314,Invalid operation while program is running
15315,Error reconfiguring axis data
15316,Program unknown
15317,Variable unknown
15318,Error unloading program
15319,Operation aborted by user
15320,Bad Variable Array dims
15321,Variable read is from PLC
15322,Invalid MPQ lookahead mode
15323,Invalid MPQ size
15324,XML Attribute not found
15325,Bad XML Attribute name
15326,XML File already loaded
15327,XML File not loaded
15328,In file included from file
15329,In file included from data object
15330,Inclusion depth limit reached
15331,XML include tag found with no file or module attribute
15332,File or Module attribute is multiply defined in XML_INCLUDE tag
15333,Multiple XML inclusion ignored
15334,Multiple inclusion ignored
15335,Interpreter config data not found
15336,Loading interpreter config module
15337,Loading interpreter config file
15338,IP Startup Error - Config file is empty
15339,IP Startup Error - Config file not readable
15340,IP Startup Error - Failed to init memory manager
15341,IP Startup Error - Interpreter not initialised
15342,Translation Error - Array-variable missing index
15343,Translation Error - Bad arg mix in PackMPData
15344,Translation Error - Bad arg name in PackMPData
15345,Translation Error - Bad goto N-Block instruction
15346,Translation Error - Bad variable reference syntax
15347,Translation Error - Badly formed external function call
15348,Translation Error - Call to undefined external function
15349,Translation Error - Invalid args to built-in fn
15350,Translation Error - Invalid lvalue in assignment
15351,Translation Error - Invalid scope type
15352,Translation error - invalid syntax
15353,Translation Error - Invalid variable index
15354,Translation Error - Invalid variable name
15355,Translation Error - Reference to unknown variable
15356,Translation Error - Unable to create local variable
15357,Translation Error - Unexpected index to variable
15358,Translation Error - Unsupported Motion Packet given to AIL PackMPData fn
15359,XML Parser - Asynchronous entity
15360,XML Parser - Cannot change setting once parsing has begun
15361,XML Parser - Cannot suspend in external parameter entity
15362,XML Parser - Document is not standalone
15363,XML Parser - Duplicate attribute
15364,XML Parser - Encoding specified in XML declaration is incorrect
15365,XML Parser - Entity declared in parameter entity
15366,XML Parser - Error in processing external entity reference
15367,XML Parser - Illegal character(s) in public id
15368,XML Parser - Illegal parameter entity reference
15369,XML Parser - Incomplete markup in parameter entity
15370,XML Parser - Junk after document element
15371,XML Parser - Mismatched tag
15372,XML Parser - Must not undeclare prefix
15373,XML Parser - No element found
15374,XML Parser - No error
15375,XML Parser - Not well-formed (invalid token)
15376,XML Parser - Out of memory (invalid content?)
15377,XML Parser - XML structure not terminated
15378,XML Parser - XML syntax error
15379,XML Parser - Parsing aborted
15380,XML Parser - Parsing finished
15381,XML Parser - Mismatched (end) tag
15382,XML Parser - Prefix must not be bound to one of the reserved namespace names
15383,XML Parser - Recursive entity reference
15384,XML Parser - Reference to binary entity
15385,XML Parser - Reference to external entity in attribute
15386,XML Parser - Reference to invalid character number
15387,XML Parser - Requested feature requires XML_DTD support in Expat
15388,Reserved prefix (xml) must not be undeclared or bound to another namespace
15389,XML Parser - Reserved prefix (xmlns) must not be declared or undeclared
15390,XML Parser - XML syntax error
15391,XML Parser - Text declaration not well-formed
15392,XML Parser - Unbound prefix
15393,XML Parser - Unclosed CDATA section
15394,XML Parser - Unclosed token
15395,XML Parser - Undefined entity
15396,XML Parser - Unexpected parser state - please send a bug report
15397,XML Parser - Unknown encoding
15398,XML Parser - XML declaration not well-formed
15399,XML Parser - XML or text declaration not at start of entity
15400,Config Error - Bad data type attributes
15401,Config Error - Bad basic type in type spec
15402,Config Error - Bad Synch type name ignored
15403,Config Error - Bad value setting in type spec
15404,Config Error - Bad Num attribute value
15405,Config Error - Unknown trigger cond child[0]
15406,Config Error - Unknown trigger condition node
15407,Config Error - Unknown trigger condition type
15408,Config Error - Function already declared
15409,Config Error - Function lookup failed
15410,Config Error - Missing 'Type' attribute
15411,Config Error - Missing 'Name' attribute
15412,Config Error - Fn STATUS argument must be first arg or return type
15413,Config Error - Fn arg type STATUS must also have attr Ref='Y'
15414,Config Error - FUB Function not found
15415,Config Error - Invalid attributes to FUB Cfg
15416,Config Error - Invalid FUB condition
15417,Config Error - Invalid XML Node in FUB Cfg
15418,Config Error - FUB Name missing
15419,Config Error - Unknown FUB OutType
15420,Config Error - Eval group number in multiple eval phases
15421,Config Error - Insufficient information about language
15422,Config Error - No languages defined
15423,Config Error - Bad config file root structure
15424,Config Error - Unable to compile token Pattern
15425,Config Error - Invalid substitution reference
15426,Config Error - No translation for G-Code
15427,Config Error - No translation for M-Code
15428,Config Error - No translation for TechParam
15429,Config Error - Bad memory config settings
15430,Config Error - No languages configured
15431,Config Error - ICF Root structure not CONFIG
15432,Config Error - Bad Constant definition
15433,Config Error - XML file contains invalid data
15434,Config Error - Unrecognised attribute ignored
15435,Config Error - Bad file device name (Loading XML)
15436,Config Error - Bad XML file name
15437,Config Error - Device attribute is multiply defined in XML_INCLUDE tag
15438,Config Error - DataObject attribute is multiply defined in XML_INCLUDE tag
15439,Config Error - Out of memory loading XML
15440,Config Error - Interpreter config module not found
15441,Config Error - Interpreter config file not found
15442,Lang Config Error - Reference to unknown data type
15443,Lang Config Error - Unrecognised token name
15444,Lang Config Error - Enum of this type not supported
15445,Lang Config Error - G-Code Alias not found
15446,Lang Config Error - M-Code Alias not found
15447,Lang Config Error - Unrecognised bool literal in XML
15448,Lang Config Error - Invalid function argument type specified
15449,Lang Config Error - Invalid function return type specified
15450,Lang Config Error - Too many ArgTypes defined
15451,Lang Config Error - Illegal MCode Alias specified for MCode range
15452,Lang Config Error - Unrecognised Tech Param Arg val type
15453,Lang Config Error - Unrecognised Tech Param val type
15454,Lang Config Error - Illegal type in XML constant
15455,Lang Config Error - No Proc translation
15456,Lang Config Error - Groups in different eval phases
15457,Lang Config Error - GCode group not in eval order phase
15458,Lang Config Error - No G-Codes defined
15459,Lang Config Error - Eval group in more than 1 phase
15460,Lang Config Error - Eval group multiply declared
15461,Lang Config Error - XML defined function has no args
15462,Lang Config Error - Unknown DataType specified in G-Code Arg
15463,Lang Config Error - Bad LastIf value in G-Arg (expect float)
15464,Lang Config Error - Bad G-Arg Name (should refer to a string or string-const)
15465,Lang Config Error - Bad G-Arg Name constant (not a string const)
15466,Lang Config Error - Bad G-Arg NameType (should be name of a string-enum)
15467,Lang Config Error - Bad Name value in G-Arg
15468,Lang Config Error - Unknown Token name in G-Arg
15469,Lang Config Error - EnumType requires Type=ENUM
15470,Lang Config Error - Can only use IsLiteral with types FLOAT or INT
15471,Lang Config Error - ListOf invalid without Type=LIST
15472,Lang Config Error - Bad value string for MCode range (not integer literal)
15473,Lang Config Error - Using default MCode value range
15474,Lang Config Error - No AIL translation for G-Code
15475,Lang Config Error - No AIL translation for M-Code
15476,"No GNum attribute found for G-Code, number will be derived from XML tag"
15477,"Lang Config Error - No MinValue, MaxValue attributes for M-Codes"
15478,Lang Config Error - No 'QuotedName' attribute
15479,Lang Config Error - Unrecognised Param index type
15480,Lang Config Error - Unrecognised Param value type
15481,Lang Config Error - Possible error converting GNum value from string
15482,Lang Config Error - Possible error converting MNum
15483,Lang Config Error - Bad Preprocessor macro def
15484,"Lang Config Error - PVMacro cannot have CALL with REF, GET or SET"
15485,"Lang Config Error - No translation (GET, SET or REF) for macro"
15486,Lang Config Error - No GET translation for macro
15487,Lang Config Error - Illegal REF with GET and SET
15488,Lang Config Error - No REF translation for macro
15489,Lang Config Error - CanRead and CanWrite only valid with REF templates
15490,Lang Config Error - No SET translation for macro
15491,Lang Config Error - Semantic directives conflict
15492,Lang Config Error - Too many enum values
15493,Lang Config Error - Too many vector items
15494,Lang Config Error - Undefined constant in XML
15495,Lang Config Error - Unexpected XML Element
15496,Lang Config Error - Unrecognised parser option
15497,Lang Config Error - Unknown variable reference
15498,Lang Config Error - Unrecognised parse-token attribute
15499,Lang Config Error - Bad BRType in Primitive config
15500,Lang Config Error - No BRType in Primitive config
15501,Internal Status - Bad system ptr to queue fn
15502,Internal Status - Bad queue command
15503,Internal Status - Bad queue element
15504,Internal Status - Bad queue data
15505,Internal Status - Queue busy
15506,Internal Status - Queue empty
15507,Internal Status - Queue full
15508,Internal Status - Invalid queue buf size
15509,Internal Status - No free queue elements
15510,Internal Status - Out of memory for queue
15511,Internal Status - Wrong queue node
15512,Internal Error - Bad system function number
15513,Internal Error - Unexpected Operator token
15514,Internal Error - Invalid string operation
15515,Internal Error - Unable to create synch action
15516,Internal Error - Unable to create Path Synchronous assignment
15517,Internal Error - Unable to create synch stmt
15518,Internal Error - Unimplemented language features
15519,Internal Error - Unable to obtain semaphore
15520,No system vars with axis
15521,Internal Error - Bad AIL System identity value
15522,Internal Error - Bad reference
15523,Internal Error - Cannot pop scope - stack empty
15524,Internal Status - At end of input
15525,Internal Status - End of String-Cache iteration
15526,Internal Error - Bad file mode
15527,Internal Error - while mapping FUB PV structure
15528,Internal Error - Unexpected child-count to node
15529,Internal Error - Null args passed to function
15530,Internal Error - Invalid Constant-Cache operation
15531,Internal Error - Null arguments passed to func
15532,Internal Error - Null arguments passed to fn.
15533,Internal Error - Invalid Fn-Cache operation
15534,Internal Error - Bad FUBCache Op
15535,Internal Error - Bad String-Cache operation
15536,Internal Error - Invalid PV-Cache operation
15537,Internal Error - Invalid String Cache operation
15538,Internal Error - Bad strpairread operation
15539,Internal Error - Badly parsed Synch Action tree
15540,Internal Error in function
15541,Internal Error - Failed to send SA End MP
15542,Internal Error - Failed to send SA Start MP
15543,Internal Error - Bad argument index string
15544,Internal Error - CreatePV without var names
15545,Internal Error - No FreeConfig API defined
15546,Internal Error - Bad ParseTree Construction
15547,Internal Error - Wrong restart mode
15548,Internal Error
15549,Internal Error - Invalid file ID
15550,Internal Error - Invalid FileID in function
15551,Internal Error - Invalid file-list operation
15552,Internal Error - Language unknown
15553,Internal Error - Lexer at end of file
15554,Internal Error - File not loaded
15555,Internal Error - Unexpected parse tree structure
15556,Internal Error - Badly parsed program declaration
15557,Internal Error - Bad operator to function
15558,Internal Error - GCode node missing next-args
15559,Internal Error - Float value requested from string
15560,Internal Error - Integer value requested from string
15561,Internal Error - No PVInfo for PassByRef argvar
15562,Internal Error - Subarg seen outside sub decl
15563,Internal Error - Unable to create modal command
15564,Internal Error - Unhandled command node
15565,Internal Error - Unhandled data type check
15566,Internal Error - No value found for parameter
15567,Internal Error - Attempt to free NULL ptr
15568,Internal Error - MemFree with wrong partition
15569,Internal Error - No mem-manager ident ptr
15570,Internal Error - Memory Part record lost
15571,Internal Error - Failed to destroy mem part
15572,Internal Error - Memory operation failed
15573,Internal Error - File not yet completely loaded
15574,Error during parsing
15575,Internal Error - Bad arguments given to PV Read
15576,"Internal Status - Ref unresolved, trying load"
15577,Internal Error - Overlength string for string-cache
15578,Internal Error - Ip Self-Test failed
15579,Internal Status - Subprogram unknown (still loading)
15580,Internal Error - Bad axis variable
15581,Internal Error - Unable to file seek
15582,Internal Status - Waiting for input
15583,Internal Error - XML file node count mismatch
15584,Internal Error - Bad execution context
15585,Internal Error - Bad parse node
15586,Internal Error - Bad program reference
15587,Internal Error - Bad stack record
15588,Internal Error - Cannot pop empty stack
15589,Internal Error - Cannot push motion
15590,Internal Error - Error adding MotionPackets
15591,Internal Error - Unable to add variable
15592,Internal Error - No free remote eval headers
15593,Internal Error - Semaphore timeout
15594,Internal Error - Unexpected local var order
15595,Internal Error - Local var dealloc underrun
15596,Internal Error - Bad JobID
15597,Internal Error - Bad response arguments
15598,Internal Error - Bad response type
15599,Internal Error - Unexpected response
15600,Internal Error - Unexpected path-synch MP
15601,Internal Error - Invalid data in Command to Ip
15602,Internal Error - Unknown File Id number
15603,Internal Error - IP Instance memory invalid
15604,Internal Error - Initialising IpLib
15605,Internal Error - Bad argument to NcIp API
15606,Internal Error - IP Library memory invalid
15607,Internal Error - Incorrect NcIp version - too new
15608,Internal Error - Incorrect NcIp version - too old
15609,Internal Error - Unknown Program Id number
15610,Internal Error - Unable to deliver command
15611,Internal Error - Unexpected command to Ip
15612,Internal Error - NULL Motion Packet
15613,Internal Error - Null MPQ data
15614,Internal Error - Bad parameter to Interpreter API function
15615,Internal Status - Motion Packet Queue EMPTY
15616,Internal Error - Error releasing Motion Packet
15617,Internal Error - Bad args to function
15618,Internal Error - Error with XML parser
15619,Internal Error - Number of programmed XML load jobs is greater than maximum
15620,Internal Error - Unable to destroy XML mem part
